data,label,predicted
bini,0,0
jujur gue fan sama jesicca jane tapi putus hubung jesicca sama ericko yang kata ada listy bagai pelakor gue enggak salah listy sih gue malah salah sih ericko nya kayak orang tolol banget gara gara ericko ada wanita sakit jesicca pasti sakit hati lah hianatin begitu listy juga sakit banget lah hujat sana sini terus,0,0
tocil ngapa menang,1,0
nih sumpah sangat sayang dalam kejap ratting kamu turun apalagi indonesia kalau cap pelakor susah hilang harus sabar bakal ada saja yang hujat kamu bagaimana asa orang tua kamu ajar banget buat kita semualebih baik hindar teman dengan lawan jenis apalagi sudah meni tapi seperti nisanya bawa asa kali yamasih kecil yakan tahun laludiperhatiin sama abang ayus dikit langsung terenyuh terus ketemu tiap hari lama lama tumbuh benih cinta sampai lupa kalau sudah punya anak sudah punya istri nisa juga lupa kali kalau dia orang anak bagaimana asa dia misal ayah pergi sama wanita lain allah tapi aku yakin bangetallah sudah siapin laki laki yang jauh lebih baik untuk mbak riri aku harap mbak riri dapat ganti yang jauh lebih baik dari bang ayus inibiar nanti sesal itu sih abang ayus kalau mantan istri dapat yang lebih baik lebih sayang lebih sholeh lebih ganteng dari pada dia,0,0
gila abi bikin jantung debar kalau posisi aku yang prankkkkkk,0,1
gara pcrku lihat vlogny kakak krisna dia jadi berekspetasi ajak buat anak tau,0,0
goodlocking lirikyang biasa saja cuekkin semangat terus kakak,0,0
awal dari goyang tiktok jadi goyang benar mending juga main game juta hasil minggu nge game doang kalau gue yang pengin tau aplikasi nya sudah gue share channel ini,1,0
bahagia asyik sama keluarga,0,0
allah pengin bini kaya begini yawloh,0,1
orang lain wah akhir dika upload vidiome broooooo letsgoo,0,0
pakai enggak mbak,1,1
nih sih bukan pacar tapi bulan madu,1,1
selamat pagi duh enggak tahan,1,0
cantik pintar ahli bela diri raih emas kurang apa lagi itu fina moga karirnya jalan lancar kak,0,0
busyeettt untung banget itu laki wadidowww,0,1
moga keluarga kita aman dari pelakor,0,0
maaf aku tuhan aku rayu ketika sedang lemah saja,0,0
sehat dan bahagia selalu waktu begitu cepat lalu aaakkkk deh punya baby dong,0,0
yang paling gua benci dari cewek tiap ada apa teriak mulu gasadar apa suara nya berisik lagi teriak apa guna sudah tau mobil mau tabrak kereta malah teriak pikir kalo teriak begitu bakal bisa henti waktu kali,1,1
gue suka gaya,0,0
sumpah pernah lihat dulu dan gara ini aku jadi ikut setia,0,0
pilih beby buat putus sama bio kaya memang tepat,0,0
pengin ikut event,0,0
laki enak,1,1
wkwkwwk burik banget suara,1,1
ketawa lepas kak luna,0,0
cantik cantik tapi murah ups murah wkwkwk canda murah,1,1
bio one masih pacar baby tsabina enggak sih wkwk ngakak saja lihat main film begitu sama mantan,1,0
sebar mantan,1,0
jogja hadir jeng sehat sukses,0,0
biasa saja sih karena masih muda saja nanti juga sama saja bisa peot enggak ingat mati nanti kalau sudah mati semua busuk dan baru tau rasa tanggung jawab kita pada yang milik kita saya yakin sih orang tua dulu sering bilang orang yang terlalu bebas kayak begini biasa enggak kan bahagia nanti,1,1
kurang cocok sama aya kiki orang baik cari cewek yang sholehah saja yang jilbab,1,1
lah benar tuh sherry moe kok cosplay kayak beda banget sama yang biasa cosplay tiktok enggak sangka bisa ketemu sherry moe event wibu,0,0
apakah ada korban,0,0
anya geraldine spesialis nyosor,1,1
bisa jaga perawan tapi enggak bisa jaga aurat sama saja malah publik kan parah,1,1
kocok handal,1,1
beh dan cantik imut besar lagi tuh buah dada,1,1
menit bisa apa,0,1
moga jadi keluarga yang bahagia hingga tua kak,0,0
anjir angga menang banyak coba saja gue yang lagi posisi angga angga,0,0
cewek pasti teriak,1,1
kak cantik yang imut kok waktu pakai bikini enggak diliatin,1,1
kalo dari pandang gue sih benar sih listy ini ada sisi kasihan dalam hidup balik kasus selingkuh itu dia benar butuh orang dan maybe ericko bisa erti dia karena punya sisi hidup berat yang sama turut gue sih ericko yang salah banget harus saat sudah punya pasang arti sudah enggak ada tuh merhatiin cewek lain yang akhir sama sama bawa asa dan jatuh lobang yang salah harus erick fokus saja jesica enggak usah caper cewek lain gimanapun cowok itu yang action duluan listy ini juga promosiin ericko mulu baik baik baik dan pandang diri buruk terus listy ini punya rasa yang besar hadap ericko tapi kaya ericko pun enggak aku listy publik dan maybe minta listy untuk mengembalikkan nama baik ericko padahal turut gue ini sulit banget karena ericko sendiri tidak bisa bangun nama baik sendiri,0,0
lumayan buat bahan,1,0
yang tunggu semangat hahaha,0,0
edukasi banget nih deh harus ajar sekolah utama buat siswi gue kasihan lihat mas deddy sampai merah githu kepala jangan sangar lah mbak fina kasihan orang tua hehehe,0,0
heran banget wanita seperti ini kok bisa kenal begitu padahal biasa saja jelek,1,1
kamu jangan sedih kan ada soju yang selalu tani,0,0
tarik ulurr sih ayo mahh jos gandos markojos mantap,0,1
bibir nya pakai bedak kok putih juga tempel nya,1,1
ampun nyata cantik ramah jago nyanyi nyata pelakor amit amit banget sih bisa gatal laki orang emanya enak main sama bapak bapak,1,1
edit nya niat banget seru juga,0,0
bikin konten buat cari sensasi doang,1,1
kamu enggak pakai kotang lihat itu pentil kamu,1,1
asa pacaram sama bocil bio one memang awet muda sih,0,0
bukan ngeprank sih malah goda haha,1,1
pantesan joko widodo sampai bikin parodi jaenudin ngaciro untuk sindir niisa sabyan bin memang tugas untuk pantau kelompok tentu yang jadi target kalau perlu sadap ponsel hubung pihak istana pernah inisiatif kontrak sabyan isi acara perintah dan presiden joko widodo akhir tahu rahasia grup sabyan sehingga beliau putus batal kontrak,0,0
belum kenal nyata ada sisi gelap,1,0
orang yang hebat adalah orang yang mau aku buat salah dan mau ajar baik diri salut,0,0
pak dedy itu keren banget beliau coba untuk rubah mindset orang indonesia kembang dengan baik,0,0
stop goblok,1,0
sih anya nyosor mulu gue yakin sih sudah rasa yang enak enak jadi agresif begitu wkwk,1,1
banyak musibah yang datang,0,0
ngeri benerrrr beuhh porak poranda bayanginnya,0,1
jam tayang nya anya enggak banget,0,0
banyak yang bingung kenapa bang denny bisa erti apa yang dirasain orang orang yang masuk podcastnya apa dia dukun bukan bro itu hati kasih dia enggak skedar simpati tapi juga empati ikut rasa apa yang orang lain rasa dan buat dia olah alami hal sebut dan lalu hal yang buat dia olah alami hal sebut dia bisa jadi pikir dengan orang sebut kasih itu yang utama dalam paham asa orang,0,0
nyata dia cewek murah enggak semua artis mahal harga diri sama saja kayak cewek biasa kasihan,1,1
memang besar,1,0
uuuh tiba tiba suka warna putih,0,0
min ini tolong hapus dong kasihan kak rachelnya sudah enggak pengin foto seksi sebar jadi kita buat baik dengan tidak sebar foto seksi orang min,0,0
sudah kaya latih nyetir mobil jalan nya situ saja wkwk,0,1
anya geraldine mah sudah bolong,1,1
bikin pusing adek kecil,0,0
yang deh dapat jangan lupa bagi wkwk,0,0
cewek itu memang harus rumah nikah enggak usah kerja urus dapur sama ranjang,1,1
anjir click baits,0,0
lihat tidak sempurna,1,1
gede,1,1
cantik banget lunox,0,0
saya bagai anak smk informatika paham betul kok rasa salah koma atau titik saja langusung eror harus teliti nyarik mana yang salah dan itu lama,0,0
asik sekali wkwk,0,0
wow berdiri,1,0
keren banget sih maennya bei,1,0
aku juga mau kalau prank begitu kak,0,0
cita adalah hrd,0,0
thanks buat konten ini ded anak saya cewek semua nanti harus bjj nih buat bekal mereka lindung diri dan ilmu kayak begini penting banget buat kaum hawa keren keren ini konten benar manfaat,0,0
berapa banyak keluar tahi nya kak,1,1
kayak transgender nih cewek,1,1
begini sih benar kalo orang enggak bisa cinta diri sendiri bagaimana dia bisa cinta orang lain kalo biasa sakit sendiri mudah itu juga dia akan sakit orang lain tanpa dia sadar,0,0
aduh bikin merindingg,0,0
suka banget lihat kak dinar sama nyai,0,0
kalau binatang memang begitu telanjang bulat dah biasa nah kalau binatang pakai baju aneh jadi lucu,1,1
anjir murahaan cium cium,1,1
mak gua masuk,0,0
keren sih mulai dari makeup sampai dia tata wig biar look alike dengan tetap usaha nutup rambut asli keep itu key,0,0
boleh dong kakak anu dua hehe,1,1
sudah berapa kali kena sodok sia untung lelaki yang sudah sodok,1,1
cantik aku,0,0
asli merinding,0,0
ini kalo enggak salah yang borgol nya,0,0
dari awal masuk idol sudah suka lihat,0,0
bahagia selalu kak milkhris adek bayi adek nya mirip ayah tuh moga jadi anak yang bakti buat orang tua dek guna bagi nusa bangsa sehat bahagia selalu milkhris family,0,0
hadeeeh ananta seg ngedit kok pintar men suara kentut kok pas kekeyi nungging bikin ngakak saja,1,1
mana sih nya yang cosplay ram rem itu,0,0
jangan senyum terus nanti aku melting,0,1
mantap pis,0,0
pispot subjek tempat bung kotor terang arti objecknya lacur ups pas banget,1,1
wah murah banget ini cewek betina,1,1
yang lontong balap memang bukan perkedel itu nama lento terus itu juga bukan sambel kecap tapi petis moga komen kritik bangun dari netizen baca buat baik depan kaaak,0,0
positif thingking saja,0,0
ente kadang,0,0
karena yang tonton semua nama raih,0,0
wah thanks lot ded dan sist finasungguh buka wawas utama bagi para perempuan atau yang milik anak anak perempuan appreciate tapi you both,0,0
love nya dong teteh,0,0
indonesia dengan barat tidak ada beda orang bebas pamer sex bebas seperti ini edan edan,1,1
terima kasih banget edukasi menit fina cucur keringat sampai kaya menang aku jadi menang kok ada orang mikir cabul dari usaha keras ini gila inituh bekal buat para perempuan latih keras itu bilang posisi cabul yang bikin gue menang sih thanks banget ded,0,0
moga subs bang dika lebih sering lagi upload konten dan semangat terus bikin konten,0,0
lanjut dong neng part brikutnya sama angga sukses terus buat not project,0,0
aku sbenere suka cewek romantis tapi kalo lebih juga bosan,0,0
enak masuk nya kah,1,1
cewenya empuk suara,0,1
